_id,cinsi,deger,br.fiyati
1,Yagmur rogari bozma ucreti,Adet,"765,00 TL"
2,Yagmursuyu kanali bozmaucreti,mt,"476,00 TL"
3,Yol Yipranma Bedeli,m2,"11,00 TL"
4,Bordur ve Oluklarin yipranma bedeli,m2,"11,00 TL"
5,Yollarda ve tretuvarlarda kazi yapilmasi ve moloz nakli,m3,"63,00 TL"
6,Kirma tas dolgu temini ve sikistirilmasi,m3,"68,00 TL"
7,Asfalt yama altina 20 cm kalinlikta beton yapilmasi,m2,"58,00 TL"
8,Sicak asfalt kaplama,m2,"104,00 TL"
9,Beton Kaplama,m2,"71,00 TL"
10,Betonarne parke kaplama,m2,"89,00 TL"
11,Karo kaplama,m2,"134,00 TL"
12,Kup granit kaplama,m2,"296,00 TL"
13,Andezit kaplama,m2,"296,00 TL"
14,Fonolit kaplama,m2,"296,00 TL"
15,Granit kaplama,m2,"296,00 TL"
16,Beton bordur ve yagmurlugu,mt,"53,00 TL"
17,"Andezit, granit, fonolit bordur ve yamurlugu",mt,"90,00 TL"
18,Asfalt boyasi tahribat bedeli,m2,"53,00 TL"
19,Çim tahrip bedeli,m2,"23,00 TL"
20,Toprak yol kaplama,"",Ücretsiz
21,Stabilize yol kaplama,"","5,50 TL"
22,Altyapi kazi ruhsat belge ucreti,adet,"81,00 TL"
23,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliga kadar) ucreti,"","298,00 TL"
24,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliliktan sonra her 5 Km için) ucreti,"","81,00 TL"
25,"sehir içinde yapilan çalismalarda İsaretleme(yukleme indirme,yerlestirme,toplama) (20 Parça dahil, 20 parçaya kadar) ucreti","","90,00 TL"
26,"sehir içinde yapilan çalismalarda isaretleme (yukleme indirme,yerlestirme,toplama) (20 Parçayi geçtik ten sonra her 10 parça için) ucreti","","44,00 TL"
27,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parça dahil, 20 parçaya kadar, 1 ile 7 gun dahil) ucreti","","216,00 TL"
28,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parçayi geçen her 10 parça için, 1 ile 7 gun dahil) ucreti","","108,00 TL"
29,Yol bariyeri (polietilen) ucreti,"","538,00 TL"
30,Trafik yonlendirme levhasi ucreti (60lik),"","197,00 TL"
31,Trafik ikaz levhasi ucreti (60lik),"","197,00 TL"
32,Trafik ikaz lambasi ucreti,"","197,00 TL"
33,Trafik çalisma dubasi ucreti (60lik),"","130,00 TL"
34,Trafik çalisma dubasi ucreti (90lik),"","171,00 TL"
35,Çalisma levhasi ucreti (80-60lik),"","256,00 TL"
36,Bilgilendirme levhasi ucreti,"","639,00 TL"
