,cinsi,birim_fiyati(TL)
0,Yagmur Rogari Bozma Ucreti,686
1,Yagmursuyu Kanali Bozmaucreti,427
2,Yol Yipranma Bedeli,10
3,Bordur Ve Oluklarin Yipranma Bedeli,10
4,Yollarda Ve Tretuvarlarda Kazi Yapilmasi Ve Moloz Nakli,57
5,Kirma Tas Dolgu Temini Ve Sikistirilmasi,61
6,Asfalt Yama Altina 20 Cm Kalinlikta Beton Yapilmasi,52
7,Sicak Asfalt Kaplama,94
8,Beton Kaplama,64
9,Betonarne Parke Kaplama,80
10,Karo Kaplama,121
11,Kup Granit Kaplama,266
12,Andezit Kaplama,266
13,Fonolit Kaplama,266
14,Granit Kaplama,266
15,Beton Bordur Ve Yagmurlugu,48
16,"Andezit, Granit, Fonolit Bordur Ve Yamurlugu",81
17,Asfalt Boyasi Tahribat Bedeli,48
18,Çim Tahrip Bedeli,21
19,Toprak Yol Kaplama,0
20,Stabilize Yol Kaplama,5
21,Altyapi Kazi Ruhsat Belge Ucreti,73
22,Kamyonet Ile Levha Nakli (Tatlicak Santiyesinden 20 Km Uzakliga Kadar) Ucreti,268
23,Kamyonet Ile Levha Nakli (Tatlicak Santiyesinden 20 Km Uzakliliktan Sonra Her 5 Km Için) Ucreti,73
24,"Sehir Içinde Yapilan Çalismalarda İsaretleme(Yukleme Indirme,Yerlestirme,Toplama) (20 Parça Dahil, 20 Parçaya Kadar) Ucreti",81
25,"Sehir Içinde Yapilan Çalismalarda Isaretleme (Yukleme Indirme,Yerlestirme,Toplama) (20 Parçayi Geçtik Ten Sonra Her 10 Parça Için) Ucreti",40
26,"Emniyet Ve Bilgilendirme Levhalarinin Haftalik Kira (20 Parça Dahil, 20 Parçaya Kadar, 1 Ile 7 Gun Dahil) Ucreti",194
27,"Emniyet Ve Bilgilendirme Levhalarinin Haftalik Kira (20 Parçayi Geçen Her 10 Parça Için, 1 Ile 7 Gun Dahil) Ucreti",97
28,Yol Bariyeri (Polietilen) Ucreti,483
29,Trafik Yonlendirme Levhasi Ucreti (60Lik),177
30,Trafik Ikaz Levhasi Ucreti (60Lik),177
31,Trafik Ikaz Lambasi Ucreti,177
32,Trafik Çalisma Dubasi Ucreti (60Lik),117
33,Trafik Çalisma Dubasi Ucreti (90Lik),154
34,Çalisma Levhasi Ucreti (80-60Lik),230
35,Bilgilendirme Levhasi Ucreti,573
