ilce_adi,mahalle_adi,sulanabilir_alanda_yetistirilen_urunler1,sulanabilir_alanda_yetistirilen_urunler2,sulanabilir_alanda_yetistirilen_urunler3,sulanabilir_alanda_yetistirilen_urunler4,sulanabilir_alanda_yetistirilen_urunler5,sulanabilir_alanda_yetistirilen_urunler6,sulanabilir_alanda_yetistirilen_urunler7,sulanabilir_alanda_yetistirilen_urunler8,sulanabilir_alanda_yetistirilen_urunler9,sulanabilir_alanda_yetistirilen_urunler10
Akşehir,TİPİKÖY,MISIR, YONCA, ASPİR, HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ULUPINAR,KİRAZ, VİŞNE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÜÇHÜYÜK,KİRAZ, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAŞARLAR,ŞEKER PANCARI, MISIR, HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAYLABELEN,MISIR, YONCA, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAZLA,ŞEKER PANCARI, MISIR, YONCA, HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YENİKÖY,KİRAZ, VİŞNE, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YEŞİLKÖY,ŞEKER PANCARI, MISIR, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Akşehir,SARAY,KİRAZ, VİŞNE, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,OĞUZELİ,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKCAŞAR,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, ÇEREZLİK KABAK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AYIŞIĞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKKÖY,BUĞDAY, ŞEKER PANCARI, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,BORUKKUYU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK
Altınekin,HACINUMAN,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,KARAKAYA,DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,KOÇAŞ,ŞEKER PANCARI, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,KOÇYAKA,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,MANTAR,BUĞDAY, ARPA, ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,YENİÖLMEZ,BUĞDAY, ARPA, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK
Altınekin,SARNIÇ,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,TOPRAKLIK,ŞEKER PANCARI, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,YENİKUYU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,YENİYAYLA,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,DEDELER,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKINCILAR,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ADAKÖY,FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,AĞILÖNÜ,ELMA, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK
Beyşehir,AKBURUN,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,AKÇABELEN,ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK
Beyşehir,AVDANCIK,ŞEKER PANCARI, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BADEMLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BAYAT,ŞEKER PANCARI, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BAYAVŞAR,ŞEKER PANCARI, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK
Beyşehir,BAYINDIR,ŞEKER PANCARI, ELMA, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK
Beyşehir,BAŞGÖZE,BUĞDAY, ARPA, YONCA, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BEKDEMİR,ŞEKER PANCARI, DOMATES, BİBER, PATATES, SOĞAN, SARIMSAK,YOK,YOK,YOK,YOK
Beyşehir,DAMLAPINAR,ŞEKER PANCARI, ELMA, KİRAZ, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK
Beyşehir,DOĞANBEY,BUĞDAY, ŞEKER PANCARI, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,DOĞANCIK,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,DUMANLI,FASULYE, DOMATES, PATATES, SOĞAN,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,EMEN,ŞEKER PANCARI, MISIR, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN,YOK,YOK,YOK
Beyşehir,ESENCE,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,EYLİKLER,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,EĞİRLER,BUĞDAY, ARPA, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,FASILLAR,ŞEKER PANCARI, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖKÇEKUYU,MISIR, YONCA, FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖKÇİMEN,YONCA, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖLKAŞI,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖLYAKA,ELMA, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖNEN,BUĞDAY, ARPA, MERCİMEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖÇÜ,ŞEKER PANCARI, FASULYE, DOMATES, BİBER, PATATES,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÜNDOĞDU,ŞEKER PANCARI, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,HUĞLU,CEVİZ, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK
Beyşehir,HÜSEYİNLER,MISIR, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,İSAKÖY,BUĞDAY, ŞEKER PANCARI, MISIR, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Beyşehir,KARAALİ,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KARABAYAT,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KARADİKEN,ŞEKER PANCARI, FASULYE, KAVUN, KARPUZ, DOMATES, BİBER,YOK,YOK,YOK,YOK
Beyşehir,KARAHİSAR,ŞEKER PANCARI, MISIR, KİRAZ, ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK
Beyşehir,KAYABAŞI,DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KURUCUOVA,DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK,YOK,YOK,YOK,YOK
Beyşehir,KUŞLUCA,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KÜÇÜKAVŞAR,ELMA, KİRAZ, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Beyşehir,MESUTLAR,DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK,YOK,YOK,YOK,YOK
Beyşehir,SADIKHACI,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,SARIKÖY,ŞEKER PANCARI, PATATES, SOĞAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,SEVİNDİK,CEVİZ, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ŞAMLAR,DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK,YOK,YOK,YOK,YOK
Beyşehir,ÜÇPINAR,ŞEKER PANCARI, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÜSTÜNLER,YONCA, FASULYE, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK,YOK,YOK
Beyşehir,ÜZÜMLÜ,ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN,YOK,YOK,YOK,YOK
Beyşehir,YAZYURDU,DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,YENİDOĞAN,BUĞDAY, ARPA, ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,YEŞİLDAĞ,FASULYE, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN,YOK,YOK,YOK,YOK
Beyşehir,YUKARIESENCE,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,YUNUSLAR,MISIR, ELMA, CEVİZ, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Beyşehir,ÇİFTLİK,ŞEKER PANCARI, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÇİVRİL,ŞEKER PANCARI, ÜZÜM, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÇUKURAĞIL,ŞEKER PANCARI, MISIR, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Bozkır,ÇAĞLAYAN,ELMA, KİRAZ, VİŞNE, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HAMZALAR,ELMA, KİRAZ, ÜZÜM, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,AKÇAPINAR,BUĞDAY, ARPA, NOHUT, ELMA, KİRAZ, DOMATES, BİBER, PATATES,YOK,YOK
Bozkır,ARMUTLU,ÇİLEK, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ARSLANTAŞ,PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,AYDINKIŞLA,DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,AYVALCA,ELMA, KİRAZ, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,BAĞYURDU,ELMA, KİRAZ, ARMUT,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,BAYBAĞAN,DOMATES, BİBER, PATATES, SARIMSAK, MARUL,YOK,YOK,YOK,YOK,YOK
Bozkır,BOZDAM,ELMA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,DEREİÇİ,KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,DEREKÖY,ELMA, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ELMAAĞAÇ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HACILAR,ELMA, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HACIYUNUSLAR,PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HARMANPINAR,ELMA, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HİSARLIK,ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,IŞIKLAR,ELMA, KİRAZ, PATATES, SOĞAN,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARABAYIR,FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARACAARDIÇ,ELMA, MERCİMEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARACAHİSAR,PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARAYAHYA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KAYACILAR,KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KAYAPINAR,ÜZÜM, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KINIK,ELMA, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KIZILÇAKIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KİLDERE,BUĞDAY, NOHUT, MERCİMEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KOVANLIK,ELMA, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KOZAĞAÇ,ELMA, KİRAZ, ERİK, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KUŞÇA,BUĞDAY, ARPA, NOHUT,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KÜÇÜKHİSARLIK,ELMA, KİRAZ, ÜZÜM, DOMATES, PATLICAN,YOK,YOK,YOK,YOK,YOK
Bozkır,PINARCIK,KİRAZ, ÇİLEK, DOMATES, BİBER, PATATES,YOK,YOK,YOK,YOK,YOK
Bozkır,SARIOĞLAN,BUĞDAY, ARPA, NOHUT,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SAZLI,ELMA, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SOĞUCAK,KİRAZ, ÇİLEK, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SORKUN,FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SÖĞÜT,ELMA, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TARLABAŞI,FASULYE, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TAŞBAŞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TEPEARASI,ELMA, KİRAZ, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TEPELİCE,BUĞDAY, ARPA, NOHUT,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ULUPINAR,KİRAZ, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ÜÇPINAR,ELMA, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YALNIZCA,PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YAZDAMI,ELMA, KİRAZ, ÜZÜM, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK
Bozkır,YELBEYİ,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YENİKÖY,KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YOLÖREN,ELMA, ERİK, DOMATES, SALATALIK,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,GÖKPINAR,ŞEKER PANCARI, AYÇİÇEĞİ, SOĞAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,ADAKASIM,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, REZENE,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,DOĞANYURT,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,KAŞÖREN,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KANOLA,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,KÜÇÜKHASAN,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,TORUNLAR,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK
Çeltik,İSHAKUŞAĞI,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, REZENE,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,HONAMLI,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BÖĞRÜDELİK,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,YAPALI,ŞEKER PANCARI, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,YENİCEOBA,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,CUMHURİYET,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GEMECİK,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GÖKTEPE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,AĞABEYLİ,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,HODOĞLU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KAYI,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KIRKIŞLA,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KORKMAZLAR,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KÜÇÜKBEŞKAVAK,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,MUTLUKONAK,BUĞDAY, ARPA, ELMA, KİRAZ, VİŞNE, ÜZÜM,YOK,YOK,YOK,YOK
Cihanbeyli,SAĞLIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,SIĞIRCIK,BUĞDAY, ARPA, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,TURANLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,TÜFEKÇİPINAR,ŞEKER PANCARI, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,UZUNCAYAYLA,MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,YÜNLÜKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,ZAFERİYE,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GÖLYAZI,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GÜNYÜZÜ,ŞEKER PANCARI, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,İNSUYU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
